village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
C6,6,11.07.19,16:18:00,CPE,E,1,R,M,C,C,V,V,15000,F,J,FO,S,9
C6,6,14.07.19,07:29:00,ATH,E,1,R,M,C,C,V,V,7000,F,N,FO,S,7
C6,6,14.07.19,07:29:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,7
C6,6,14.07.19,07:29:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FO,S,7
C6,6,14.07.19,07:38:00,PCM,E,1,R,M,C,C,V,V,3000,F,N,FO,S,4
C6,6,14.07.19,07:38:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,4
C6,6,16.07.19,08:02:00,PCM,E,1,M,M,C,C,V,M,NA,M,N,NA,NA,NA
C6,6,16.07.19,08:02:00,CBL,E,1,R,M,C,C,V,V,5000,F,NA,FF,N,2
C6,6,17.07.19,16:27:00,CMN,G,2,M,NA,C,C,V,M,NA,F,J,FF,N,2
C6,6,17.07.19,16:27:00,CMN,T,1,M,NA,C,C,V,M,NA,F,J,FF,N,2
C6,6,19.07.19,08:07:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,5
C6,6,19.07.19,08:07:00,CBA,E,1,M,F,C,C,V,V,12000,F,N,FO,N,5
C6,6,19.07.19,08:07:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,N,5
C6,6,20.07.19,07:23:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,N,4
C6,6,20.07.19,07:23:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FO,N,4
C6,6,20.07.19,07:30:00,GEN,E,1,M,M,C,C,V,M,NA,P,J,NA,NA,NA
C6,6,20.07.19,07:33:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,7
C6,6,20.07.19,07:33:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,S,7
C6,6,20.07.19,07:42:00,CBA,E,1,R,F,C,C,V,V,15000,F,N,FO,S,7
C6,6,20.07.19,07:42:00,CBA,E,1,M,M,C,C,V,V,15000,F,N,FO,S,7
C6,6,20.07.19,07:42:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,S,7
C6,6,20.07.19,07:42:00,ATH,E,1,M,M,C,C,V,M,NA,F,N,FO,S,7
C6,6,20.07.19,07:56:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FF,N,3
C6,6,20.07.19,07:56:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FF,N,3
C6,6,20.07.19,07:59:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,5
C6,6,21.07.19,16:09:00,CPO,E,1,M,F,C,C,V,M,NA,F,J,FF,S,2
C6,6,21.07.19,16:09:00,CPO,E,1,M,F,C,C,V,M,NA,F,J,FF,S,2
C6,6,22.07.19,07:25:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,4
C6,6,22.07.19,07:35:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,S,4
C6,6,22.07.19,07:35:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,S,4
C6,6,22.07.19,16:15:00,AMA,MR,13,M,NA,A,A,V,M,1300,P,J,NA,NA,NA
C6,6,22.07.19,16:36:00,CMN,G,2,R,NA,C,C,V,V,4000,F,N,FO,N,7
C6,6,22.07.19,16:36:00,CMN,G,1,M,NA,C,C,V,M,NA,F,N,FO,N,7
C6,6,22.07.19,16:36:00,CMN,T,1,M,NA,C,C,V,M,NA,F,N,FO,N,7
C6,6,25.07.19,07:31:00,NAN,E,1,M,F,C,C,V,V,6000,F,N,FF,N,1
C6,6,25.07.19,08:07:00,CBA,E,1,R,F,C,C,V,V,15000,F,N,FO,N,5
C6,6,25.07.19,08:07:00,CBL,MI,2,M,NA,C,C,V,M,NA,F,N,R,N,5
C6,6,26.07.19,07:24:00,ATH,E,1,R,F,C,C,V,V,7000,F,N,FO,N,8
C6,6,26.07.19,07:24:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,8
